version,reference,template,name,service,created_at,owner,bom_value,site,network,engine,coordinates,transmitter,lat,lon,alt,frq,txw,bwi,powerUnit,receiver,rxlat,rxlon,rxalt,rxg,rxs,feeder,flt,fll,fcc,antenna,mode,txg,txl,ant,azi,tlt,hbw,vbw,fbr,pol,model,pm,pe,ked,rel,environment,elevation,landcover,buildings,obstacles,clt,output,units,col,out,ber,mod,nf,res,rad
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 (L-UHF-1W-1.2M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,320,1,1.2,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 (U-UHF-1W-40M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,320,1,40,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 (U-UHF-1W-1.2M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,720,1,1.2,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 (L-1W-40M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,720,1,40,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 (L-1W-1.2M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,1250,1,1.2,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 (S-1W-40M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,1250,1,40,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 (S-1W-40M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,2545,1,1.2,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 (S-1W-1.2M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,2545,1,40,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 IC (S-1W-40M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875 IC,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,2440,1,1.2,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
CloudRF-API-v3.4.0,https://cloudrf.com/documentation/developer/swagger-ui/,,TW875 IC (S-1W-1.2M),SOOTHSAYER https://dev.cloudrf.com,2022-11-09T12:49:49+00:00,1,0,TW875 IC,PS,2,1,,50.78986000000000000000000000000000000,-1.10786100000000000000000000000000000,1,2440,1,20,W,,50.78611438537990000000000000000000000,-1.14327671736349000000000000000000000,1,0,10,,1,0,0,1,template,0,0,1,0,0,0,0,1,v,,1,2,1,90,1,2,1,0,0,Minimal.clt,,m,SNR.db,4,0,0,-110,10,4
